State,n_events,mean_severity,dom_spatial,dom_temporal,top_event_type
CA,3704,1.958,5,0,Rain
NC,8679,1.779,0,2,Rain
RI,5367,1.733,0,2,Rain
CT,4122,1.732,0,2,Rain
MA,12468,1.702,0,2,Rain
ND,3907,1.682,7,1,Rain
GA,4834,1.679,3,2,Rain
KS,2978,1.667,7,1,Rain
NY,5787,1.634,0,2,Rain
SD,5307,1.633,7,2,Rain
MO,11783,1.598,7,1,Rain
LA,4512,1.598,3,1,Rain
OK,8238,1.598,7,1,Rain
TN,2687,1.592,3,1,Rain
MN,21086,1.588,7,1,Rain
TX,6522,1.556,3,0,Rain
SC,9317,1.55,3,2,Rain
AZ,2694,1.514,1,0,Snow
CO,5030,1.507,1,1,Rain
WY,6519,1.497,7,1,Snow
MI,12252,1.488,6,2,Rain
NE,3853,1.485,6,1,Rain
NV,1985,1.485,1,0,Rain
OR,14054,1.484,5,2,Rain
WI,8865,1.48,6,1,Rain
ID,7877,1.476,7,2,Snow
OH,5164,1.467,6,2,Rain
NM,6035,1.455,7,0,Rain
IA,3942,1.409,7,1,Rain
VA,432,0.868,1,0,Precipitation
