spatial_cluster,temporal_cluster,n_events,mean_severity,mean_duration,mean_lat,mean_lng,top_type,top_state,cell_id
0,2,33539,1.724,84.3,40.855,-74.788,Rain,MA,0S_2T
1,0,7682,1.408,77.0,35.347,-110.307,Rain,AZ,1S_0T
1,1,6282,1.234,68.9,38.93,-105.403,Rain,CO,1S_1T
1,2,1956,1.153,94.3,42.727,-114.455,Rain,ID,1S_2T
2,0,890,2.775,145.9,36.402,-105.438,Fog,NM,2S_0T
2,1,17458,2.669,100.0,41.581,-96.955,Fog,MN,2S_1T
2,2,2514,2.827,106.8,43.617,-106.275,Fog,ID,2S_2T
3,0,5672,1.592,53.9,31.139,-97.714,Rain,TX,3S_0T
3,1,10010,1.478,61.9,33.177,-91.612,Rain,LA,3S_1T
3,2,17034,1.603,71.6,34.316,-81.821,Rain,SC,3S_2T
4,2,1,3.0,986282.0,35.022,-76.462,Cold,NC,4S_2T
5,0,3704,1.958,92.5,36.939,-121.79,Rain,CA,5S_0T
5,2,14054,1.484,102.7,45.588,-121.639,Rain,OR,5S_2T
6,1,17792,1.227,78.0,42.577,-92.983,Rain,WI,6S_1T
6,2,17351,1.476,94.6,42.177,-84.03,Rain,MI,6S_2T
7,0,3424,1.171,70.7,36.426,-105.29,Rain,NM,7S_0T
7,1,31858,1.233,82.6,41.969,-96.87,Rain,MN,7S_1T
7,2,8779,1.268,94.1,44.026,-103.927,Snow,SD,7S_2T
