Type_A,Type_B,PR_A,PR_B,Participation_Index,n_A,n_B
Fog,Rain,1.0,1.0,1.0,42197,114333
Rain,Snow,0.9812,1.0,0.9812,114333,35230
Fog,Snow,0.9648,1.0,0.9648,42197,35230
Cold,Rain,0.9613,1.0,0.9613,3179,114333
Cold,Fog,0.9613,1.0,0.9613,3179,42197
Cold,Snow,0.9415,1.0,0.9415,3179,35230
Snow,Storm,0.9289,0.9987,0.9289,35230,1576
Cold,Storm,0.928,1.0,0.928,3179,1576
Precipitation,Storm,0.9156,0.9264,0.9156,3376,1576
Precipitation,Rain,0.9091,0.9842,0.9091,3376,114333
Fog,Precipitation,0.9708,0.9091,0.9091,42197,3376
Precipitation,Snow,0.907,0.9349,0.907,3376,35230
Fog,Storm,0.8689,0.9987,0.8689,42197,1576
Rain,Storm,0.8598,0.9987,0.8598,114333,1576
Cold,Precipitation,0.8286,1.0,0.8286,3179,3376
Hail,Rain,1.0,0.2531,0.2531,109,114333
Fog,Hail,0.2179,1.0,0.2179,42197,109
Hail,Snow,1.0,0.1958,0.1958,109,35230
Hail,Precipitation,1.0,0.1878,0.1878,109,3376
Hail,Storm,1.0,0.1098,0.1098,109,1576
Cold,Hail,0.0852,1.0,0.0852,3179,109
